Roll,Pitch,Yaw,Heading,Roll Setpoint,Pitch Setpoint
29.531355,-0.64842045,-129.03365,-127.243645,10,0
29.256151,-0.5807068,-128.82213,-127.03213,10,0
28.969473,-0.6324019,-128.70781,-126.91781,10,0
28.984407,-0.64710885,-128.40092,-126.61092,10,0
29.02036,-0.5969044,-128.37718,-126.58718,10,0
28.913063,-0.60457826,-128.32866,-126.53866,10,0
28.56587,-0.57988113,-128.12894,-126.338936,10,0
28.84532,-0.6487838,-128.33093,-126.54093,10,0
28.437595,-0.62072396,-126.20558,-124.41558,10,0
27.969507,-0.5264232,-125.869255,-124.079254,10,0
27.838251,-0.5189145,-125.79005,-124.000046,10,0
27.93111,-0.56245023,-125.8776,-124.0876,10,0
27.664984,-0.6295632,-125.784134,-123.99413,10,0
26.944218,-0.67027277,-127.94742,-126.15742,10,0
26.179428,-0.6152116,-127.477844,-125.68784,10,0
25.945942,-0.6953571,-127.4127,-125.622696,10,0
25.54089,-0.6688582,-127.16067,-125.37067,10,0
25.014645,-0.67074555,-129.01509,-127.22509,10,0
24.04009,-0.63259053,-128.30225,-126.512245,10,0
23.383217,-0.67256856,-127.87012,-126.08012,10,0
23.04825,-0.65161604,-127.608284,-125.81828,10,0
22.829334,-0.72958624,-127.51896,-125.72896,10,0
22.264462,-0.8121602,-130.11092,-128.32092,10,0
20.672525,-0.6917739,-128.83475,-127.04475,10,0
19.966127,-0.69155127,-128.29851,-126.50851,10,0
19.51234,-0.6032977,-127.86775,-126.07775,10,0
19.242035,-0.59367293,-127.64792,-125.85792,10,0
19.246822,-0.61663586,-128.81335,-127.02335,10,0
18.868858,-0.6737519,-128.54031,-126.75031,10,0
18.470457,-0.74933445,-128.2626,-126.4726,10,0
17.663706,-0.69604343,-127.48279,-125.69279,10,0
16.862022,-0.60783494,-126.655365,-124.865364,10,0
17.047731,-0.6479984,-132.01392,-130.22392,10,0
16.784641,-0.6888707,-131.835,-130.04501,10,0
16.553347,-0.75691134,-131.70825,-129.91826,10,0
15.6540985,-0.68724287,-130.8625,-129.07251,10,0
14.328044,-0.5186057,-129.50595,-127.71595,10,0
14.44341,-0.58271885,-127.5827,-125.7927,10,0
15.5810585,-0.7482288,-128.91013,-127.120125,10,0
16.030342,-0.71189415,-129.31616,-127.52616,10,0
15.615334,-0.6868653,-128.8803,-127.090294,10,0
14.985977,-0.6397522,-128.19838,-126.40838,10,0
14.774732,-0.7188208,-131.97026,-130.18027,10,0
13.985763,-0.69165325,-131.20544,-129.41545,10,0
13.911623,-0.67598736,-131.11876,-129.32877,10,0
13.773505,-0.6711795,-130.98221,-129.19221,10,0
13.082588,-0.6713783,-130.31409,-128.5241,10,0
12.293974,-0.6824357,-130.0413,-128.25131,10,0
11.045614,-0.5232624,-128.40771,-126.617714,10,0
10.942261,-0.5972564,-128.36707,-126.577065,10,0
10.86212,-0.6435418,-128.32274,-126.53274,10,0
10.459785,-0.6533504,-126.08352,-124.29352,10,0
9.797259,-0.5725905,-125.07963,-123.28963,10,0
9.679384,-0.5485911,-124.88789,-123.09789,10,0
9.525676,-0.5673894,-124.69335,-122.90335,10,0
8.9936495,-0.5897244,-123.96105,-122.17105,10,0
8.378248,-0.5290336,-130.92352,-129.13353,10,0
7.918181,-0.5211624,-130.2428,-128.4528,10,0
7.6060543,-0.5530682,-129.82324,-128.03325,10,0
7.455722,-0.56633025,-129.61563,-127.82563,10,0
7.1492705,-0.52152735,-129.08928,-127.29928,10,0
6.462196,-0.46314994,-127.397675,-125.60767,10,0
6.0739136,-0.47554678,-126.77902,-124.98902,10,0
5.9077177,-0.52954274,-126.57529,-124.785286,10,0
5.8490667,-0.5750642,-126.53809,-124.74809,10,0
5.2097054,-0.53059226,-125.39372,-123.60372,10,0
4.453841,-0.41868705,-126.97919,-125.189186,10,0
4.1564155,-0.35920972,-126.31526,-124.52526,10,0
4.575446,-0.4326537,-127.2327,-125.442696,10,0
5.312074,-0.5446359,-128.78093,-126.99093,10,0
5.4859624,-0.54304683,-129.09535,-127.30535,10,0
5.2034388,-0.56892335,-130.64883,-128.85884,10,0
4.474678,-0.49204725,-129.26254,-127.47254,10,0
4.188218,-0.46020302,-128.70187,-126.91187,10,0
